id,title,reviews
46218,Cactus J,"[['201091', '10'], ['197056', '10'], ['154758', '3.0'], ['184890', '10'], ['184391', '10'], ['182818', '10'], ['182667', '10'], ['182648', '10'], ['182616', '10'], ['182577', '10'], ['178628', '10'], ['177951', '9.0'], ['175620', '9.0'], ['174836', '10']]"
31293,Ермак,"[['196216', '3.7'], ['117239', '9.0'], ['117193', '9.3'], ['117038', '8.0'], ['97854', '10'], ['86751', '9.3']]"
30606,Булошная,"[['173064', '8.0'], ['94038', '9.7'], ['90315', '9.3'], ['89998', '8.7']]"
33742,Караван One,"[['107440', '8.7'], ['96064', '9.3']]"
42330,Blush Wine Bar,"[['162776', '8.3'], ['148692', '10']]"
31194,Веранда у дачи,"[['174173', '4.3'], ['98770', '9.0'], ['90695', '9.3'], ['85039', '9.0'], ['87309', '10']]"
38132,Wine & Crab,"[['182889', '10'], ['137895', '10'], ['118390', '9.7'], ['101895', '7.3'], ['117755', '7.7'], ['97759', '7.7'], ['55895', '9.3'], ['91625', '9.0']]"
33039,Duckstar's,"[['136735', '7.3'], ['124046', '10'], ['101449', '8.0'], ['99188', '9.7']]"
30496,Боэми,"[['183897', '10'], ['89819', '9.0'], ['86645', '7.7']]"
30703,Шинок,"[['159996', '9.0'], ['159994', '8.7'], ['153698', '9.0'], ['153199', '9.0'], ['151847', '7.7'], ['151430', '10'], ['151286', '8.7'], ['151025', '9.7'], ['150633', '8.3'], ['149715', '9.3'], ['110437', '8.3'], ['97759', '7.7'], ['137114', '9.7'], ['136008', '10'], ['116086', '8.0'], ['101894', '9.7'], ['97759', '6.7'], ['102245', '7.7'], ['84559', '8.3']]"
40917,Шервуд,"[['172564', '5.7'], ['163617', '10'], ['163630', '10'], ['163617', '10'], ['156727', '8.3'], ['150518', '10'], ['148314', '10'], ['142924', '2.5'], ['140705', '9.3'], ['139207', '10'], ['133905', '8.0'], ['134066', '7.7'], ['120143', '10'], ['109805', '10']]"
31244,Чемодан,"[['148692', '10'], ['141727', '8.7'], ['141536', '7.7'], ['86596', '9.0'], ['86501', '8.3'], ['86676', '9.3']]"
41496,Bro & N,"[['190328', '9.0'], ['174475', '5.7']]"
31444,Hard Rock Café,"[['172058', '8.3'], ['141831', '9.3'], ['117815', '9.3'], ['117797', '8.7'], ['90972', '8.3'], ['90373', '8.3'], ['89389', '8.7']]"
