id_restourant,title,id_users,rating
44041,Chilling Moscow,172558,10.0
44041,Chilling Moscow,172495,10.0
44041,Chilling Moscow,172395,10.0
48492,B-69,201878,10.0
48492,B-69,201256,10.0
48492,B-69,201197,9.0
48492,B-69,200352,9.3
48492,B-69,200154,9.7
43982,Beer Pairing,202022,10.0
43982,Beer Pairing,193530,5.7
43982,Beer Pairing,177864,10.0
43982,Beer Pairing,177569,3.7
43982,Beer Pairing,176605,6.3
43982,Beer Pairing,175733,10.0
43982,Beer Pairing,175018,9.3
43982,Beer Pairing,172283,10.0
43982,Beer Pairing,154758,9.0
43982,Beer Pairing,137225,9.7
43982,Beer Pairing,174379,1.0
43982,Beer Pairing,172325,10.0
43982,Beer Pairing,172283,10.0
32616,Шале,194071,10.0
32616,Шале,114074,10.0
32616,Шале,194520,10.0
32616,Шале,189606,10.0
32616,Шале,184674,10.0
32616,Шале,114073,10.0
32616,Шале,193211,10.0
32616,Шале,191529,9.7
32616,Шале,191526,10.0
32616,Шале,191050,10.0
32616,Шале,114073,10.0
32616,Шале,188150,10.0
32616,Шале,188140,9.3
32616,Шале,188172,10.0
32616,Шале,138677,10.0
32616,Шале,186583,10.0
32616,Шале,186479,10.0
32616,Шале,186429,9.7
32616,Шале,179830,10.0
32616,Шале,184889,10.0
32616,Шале,177642,9.7
32616,Шале,178058,10.0
32616,Шале,154758,10.0
32616,Шале,137225,9.7
32616,Шале,145444,10.0
32616,Шале,141221,10.0
32616,Шале,121216,8.0
32616,Шале,120687,8.0
32616,Шале,119774,7.3
32616,Шале,100062,9.0
32616,Шале,92480,9.0
36916,Goodman Prime,198422,10.0
36916,Goodman Prime,186583,9.7
36916,Goodman Prime,137225,9.7
36916,Goodman Prime,122104,9.3
44660,Most Restaurant & Lounge,199647,10.0
44660,Most Restaurant & Lounge,190937,10.0
44660,Most Restaurant & Lounge,190931,10.0
44660,Most Restaurant & Lounge,190930,10.0
44660,Most Restaurant & Lounge,190929,10.0
44660,Most Restaurant & Lounge,188362,10.0
44660,Most Restaurant & Lounge,188343,4.5
44660,Most Restaurant & Lounge,184910,10.0
44660,Most Restaurant & Lounge,181112,2.5
44660,Most Restaurant & Lounge,137225,9.7
44660,Most Restaurant & Lounge,176351,1.0
44660,Most Restaurant & Lounge,168493,7.0
44660,Most Restaurant & Lounge,165704,9.3
47468,Волга-Волга,194016,9.3
47468,Волга-Волга,192745,7.0
46643,Billion City,200854,8.3
46643,Billion City,191832,10.0
46643,Billion City,191667,10.0
46643,Billion City,191663,10.0
46643,Billion City,191577,10.0
46643,Billion City,191458,10.0
46643,Billion City,191392,10.0
46643,Billion City,191333,10.0
46643,Billion City,191233,10.0
46643,Billion City,191227,10.0
46643,Billion City,191193,10.0
46643,Billion City,191169,9.7
46643,Billion City,177739,10.0
46643,Billion City,175799,10.0
46643,Billion City,147190,9.7
46643,Billion City,191160,9.7
46643,Billion City,189018,1.3
46643,Billion City,188998,10.0
46643,Billion City,188215,1.0
45191,Мята Platinum Мосфильмовская,201012,10.0
45191,Мята Platinum Мосфильмовская,201010,10.0
45191,Мята Platinum Мосфильмовская,200098,10.0
45191,Мята Platinum Мосфильмовская,190870,10.0
45191,Мята Platinum Мосфильмовская,199794,10.0
45191,Мята Platinum Мосфильмовская,200384,10.0
45191,Мята Platinum Мосфильмовская,200267,10.0
45191,Мята Platinum Мосфильмовская,197338,10.0
45191,Мята Platinum Мосфильмовская,200152,10.0
45191,Мята Platinum Мосфильмовская,191562,10.0
45191,Мята Platinum Мосфильмовская,200081,10.0
45191,Мята Platinum Мосфильмовская,199834,10.0
45191,Мята Platinum Мосфильмовская,199793,10.0
45191,Мята Platinum Мосфильмовская,197064,10.0
45191,Мята Platinum Мосфильмовская,199724,10.0
45191,Мята Platinum Мосфильмовская,199683,10.0
45191,Мята Platinum Мосфильмовская,199630,10.0
45191,Мята Platinum Мосфильмовская,199514,10.0
45191,Мята Platinum Мосфильмовская,199474,10.0
45191,Мята Platinum Мосфильмовская,199434,10.0
45191,Мята Platinum Мосфильмовская,190870,10.0
45191,Мята Platinum Мосфильмовская,186315,10.0
45191,Мята Platinum Мосфильмовская,112159,10.0
45191,Мята Platinum Мосфильмовская,181592,10.0
45191,Мята Platinum Мосфильмовская,181504,10.0
45191,Мята Platinum Мосфильмовская,180868,9.7
45191,Мята Platinum Мосфильмовская,97208,10.0
45191,Мята Platinum Мосфильмовская,180355,10.0
45191,Мята Platinum Мосфильмовская,180241,10.0
45191,Мята Platinum Мосфильмовская,180029,9.7
45191,Мята Platinum Мосфильмовская,135645,10.0
45191,Мята Platinum Мосфильмовская,179809,10.0
45191,Мята Platinum Мосфильмовская,179792,10.0
45191,Мята Platinum Мосфильмовская,179659,10.0
45191,Мята Platinum Мосфильмовская,179560,10.0
45191,Мята Platinum Мосфильмовская,97192,10.0
45191,Мята Platinum Мосфильмовская,170086,10.0
40302,Remy Kitchen Bakery,202108,9.7
40302,Remy Kitchen Bakery,202021,10.0
40302,Remy Kitchen Bakery,201791,10.0
40302,Remy Kitchen Bakery,201604,10.0
40302,Remy Kitchen Bakery,200508,9.7
40302,Remy Kitchen Bakery,200291,9.7
40302,Remy Kitchen Bakery,200055,9.7
40302,Remy Kitchen Bakery,199871,10.0
40302,Remy Kitchen Bakery,198176,9.3
40302,Remy Kitchen Bakery,197969,9.7
40302,Remy Kitchen Bakery,197752,10.0
40302,Remy Kitchen Bakery,197377,9.7
40302,Remy Kitchen Bakery,195447,10.0
40302,Remy Kitchen Bakery,195209,10.0
40302,Remy Kitchen Bakery,194964,10.0
40302,Remy Kitchen Bakery,194656,10.0
40302,Remy Kitchen Bakery,193478,10.0
40302,Remy Kitchen Bakery,193372,10.0
40302,Remy Kitchen Bakery,193104,10.0
40302,Remy Kitchen Bakery,192966,10.0
40302,Remy Kitchen Bakery,191623,10.0
40302,Remy Kitchen Bakery,191514,10.0
40302,Remy Kitchen Bakery,191329,10.0
40302,Remy Kitchen Bakery,191113,10.0
40302,Remy Kitchen Bakery,189731,7.0
40302,Remy Kitchen Bakery,189691,10.0
40302,Remy Kitchen Bakery,189533,10.0
40302,Remy Kitchen Bakery,189316,10.0
40302,Remy Kitchen Bakery,189028,10.0
40302,Remy Kitchen Bakery,188717,10.0
40302,Remy Kitchen Bakery,172322,1.0
40302,Remy Kitchen Bakery,169101,2.7
40302,Remy Kitchen Bakery,162789,1.0
40302,Remy Kitchen Bakery,155180,10.0
40302,Remy Kitchen Bakery,154341,10.0
40302,Remy Kitchen Bakery,152757,10.0
40302,Remy Kitchen Bakery,152515,8.3
40302,Remy Kitchen Bakery,152480,10.0
40302,Remy Kitchen Bakery,151855,10.0
40302,Remy Kitchen Bakery,151072,1.0
40302,Remy Kitchen Bakery,150669,10.0
40302,Remy Kitchen Bakery,149958,10.0
40302,Remy Kitchen Bakery,146500,10.0
40302,Remy Kitchen Bakery,146206,10.0
40302,Remy Kitchen Bakery,144587,10.0
40302,Remy Kitchen Bakery,143810,10.0
40302,Remy Kitchen Bakery,141616,10.0
40302,Remy Kitchen Bakery,141469,9.7
40302,Remy Kitchen Bakery,139661,10.0
40302,Remy Kitchen Bakery,138722,10.0
40302,Remy Kitchen Bakery,136766,10.0
40302,Remy Kitchen Bakery,136762,10.0
32340,А где я?!,155845,8.7
32340,А где я?!,155844,8.7
32340,А где я?!,139113,10.0
32340,А где я?!,138847,10.0
32340,А где я?!,88296,9.0
34318,Центральный,118520,10.0
34318,Центральный,111041,10.0
34318,Центральный,110703,10.0
34318,Центральный,108629,10.0
34318,Центральный,107157,10.0
34318,Центральный,105876,9.7
34318,Центральный,104578,9.3
34318,Центральный,103771,9.3
34318,Центральный,92515,9.0
30499,Сахли,121669,8.7
30499,Сахли,121573,9.3
30499,Сахли,121668,8.3
30499,Сахли,121667,8.3
30499,Сахли,121666,9.0
30499,Сахли,90322,9.0
30499,Сахли,85407,10.0
30730,Рыбный базар,153133,9.0
30730,Рыбный базар,154941,8.3
30730,Рыбный базар,154940,9.0
30730,Рыбный базар,152328,8.3
30730,Рыбный базар,152327,8.0
30730,Рыбный базар,151259,8.0
30730,Рыбный базар,151210,7.7
30730,Рыбный базар,149264,7.7
30730,Рыбный базар,110437,9.7
30730,Рыбный базар,149277,8.0
30730,Рыбный базар,154939,9.3
30730,Рыбный базар,116677,9.7
30730,Рыбный базар,114459,9.7
30730,Рыбный базар,114812,9.0
30730,Рыбный базар,113897,9.7
30730,Рыбный базар,85723,8.3
40927,Рыба моя,191970,1.0
40927,Рыба моя,175671,3.0
40927,Рыба моя,159261,1.0
40927,Рыба моя,154305,10.0
40927,Рыба моя,110437,8.7
40927,Рыба моя,155782,9.0
40927,Рыба моя,152199,8.0
40927,Рыба моя,152318,8.3
40927,Рыба моя,120143,8.3
40927,Рыба моя,143807,9.7
40927,Рыба моя,155783,8.7
40927,Рыба моя,149259,9.7
40927,Рыба моя,149258,8.7
40927,Рыба моя,139786,8.7
40927,Рыба моя,134669,8.3
40927,Рыба моя,134594,8.3
40927,Рыба моя,123464,10.0
40927,Рыба моя,134648,7.3
40927,Рыба моя,118627,9.3
37687,Птицы и пчелы,194001,4.0
37687,Птицы и пчелы,186081,10.0
37687,Птицы и пчелы,185990,10.0
37687,Птицы и пчелы,185563,6.3
37687,Птицы и пчелы,184648,3.3
37687,Птицы и пчелы,145012,10.0
37687,Птицы и пчелы,144954,10.0
37687,Птицы и пчелы,144861,4.0
37687,Птицы и пчелы,143357,8.0
37687,Птицы и пчелы,143254,4.0
37687,Птицы и пчелы,124293,4.7
37687,Птицы и пчелы,121696,10.0
37687,Птицы и пчелы,115802,10.0
37687,Птицы и пчелы,114342,8.0
37687,Птицы и пчелы,114121,10.0
37687,Птицы и пчелы,112463,10.0
37687,Птицы и пчелы,112401,9.3
37687,Птицы и пчелы,112314,10.0
37687,Птицы и пчелы,112025,10.0
37687,Птицы и пчелы,111853,10.0
37687,Птицы и пчелы,111521,10.0
37687,Птицы и пчелы,111267,10.0
37687,Птицы и пчелы,108948,10.0
37687,Птицы и пчелы,108794,10.0
37687,Птицы и пчелы,107067,10.0
37687,Птицы и пчелы,105821,10.0
37687,Птицы и пчелы,104762,10.0
37687,Птицы и пчелы,102563,10.0
37687,Птицы и пчелы,103884,10.0
37687,Птицы и пчелы,103829,10.0
37687,Птицы и пчелы,102401,9.3
37687,Птицы и пчелы,102528,9.0
37687,Птицы и пчелы,102492,9.0
37687,Птицы и пчелы,90450,9.3
