id,title,reviews
31768,The Sixties,"[['90985', '8.0']]"
46373,Sunny Art,"[['193281', '10'], ['191926', '10']]"
42452,Tasty Joys,"[['155942', '10']]"
33053,Поло-клуб,"[['90265', '9.7']]"
34039,На Шаболовке,"[['89442', '9.3']]"
37147,New Moscow,"[['202194', '3.0'], ['107937', '9.3']]"
30978,Москафе,"[['90374', '8.7']]"
38729,Oxus,"[['154291', '5.7']]"
34510,Ольховка,"[['117603', '9.3']]"
34494,One More Pub,"[['137538', '2.3']]"
34444,Охотники на привале,"[['116887', '10'], ['85174', '9.3']]"
35555,Октябрь Event Hall,"[['118518', '10'], ['116802', '10'], ['111916', '10'], ['111901', '10'], ['111792', '10'], ['111522', '10'], ['110881', '10'], ['86581', '9.0']]"
39145,Osteria Mario,"[['200470', '9.0']]"
35960,Ляби-хауз,"[['107793', '10']]"
41952,Mamontov Loft,"[['133516', '10']]"
31737,Максима-пицца,"[['171821', '10']]"
33433,Кутузов,"[['90696', '10']]"
45519,Le Carre,"[['171749', '10']]"
41822,City Voice,"[['151480', '10'], ['199354', '10'], ['198640', '10'], ['190168', '10'], ['155865', '10'], ['185322', '10'], ['183953', '10'], ['177642', '6.3'], ['183064', '10'], ['182784', '10'], ['182128', '10'], ['181763', '9.7'], ['180146', '10'], ['180115', '10'], ['178722', '10'], ['177284', '10'], ['141295', '10'], ['170852', '7.5'], ['170701', '10'], ['170320', '10'], ['164187', '10'], ['166534', '10'], ['162314', '10'], ['152782', '10'], ['150070', '10'], ['157894', '10'], ['155865', '10'], ['154986', '10'], ['151255', '10'], ['151199', '10'], ['146191', '10'], ['144605', '10'], ['143374', '10'], ['141295', '10']]"
33706,Media Café,"[['93964', '8.3']]"
37583,Мой город,"[['98770', '9.3']]"
42897,Марфино,"[['154038', '10']]"
42486,Paddy's Irish Pub & Eatery,"[['153087', '10']]"
30893,Козловица,"[['102635', '6.0'], ['91469', '9.0']]"
30749,Pancho Villa,"[['88252', '9.0']]"
33023,Павлин-мавлин,"[['102583', '8.3']]"
36230,Chester Ferry,"[['84525', '9.7']]"
30813,Трикстер,"[['91474', '8.7']]"
30819,Тоскана,"[['89267', '9.7']]"
31946,Трактир Пожарского,"[['89050', '9.7']]"
32161,Треугольник,"[['169695', '8.3']]"
31706,My Bar,"[['90758', '8.0']]"
41491,Mukuzani,"[['123482', '2.3']]"
31598,Теплица,"[['135489', '9.3']]"
30569,Upside Down Cake Co.,"[['85767', '10']]"
32893,Романов,"[['92241', '9.7']]"
38509,I Like Wine 2.0,"[['194708', '1.0']]"
